time	V(v0)	V(n001)
9.431126925714935e-02	-3.643322e+00	1.048405e+00
9.450658175714935e-02	-3.643170e+00	7.627033e-01
9.470189425714935e-02	-3.643019e+00	4.655302e-01
9.489720675714935e-02	-3.642868e+00	1.613550e-01
9.509251925714936e-02	-3.642716e+00	-1.452471e-01
9.528783175714936e-02	-3.642565e+00	-4.496645e-01
9.548314425714936e-02	-3.642414e+00	-7.473186e-01
9.567845675714937e-02	-3.642262e+00	-1.033732e+00
9.587376925714937e-02	-3.642111e+00	-1.304598e+00
9.606908175714937e-02	-3.641959e+00	-1.555841e+00
9.626439425714937e-02	-3.641808e+00	-1.783682e+00
9.645970675714938e-02	-3.641657e+00	-1.984696e+00
9.665501925714938e-02	-3.641505e+00	-2.155858e+00
9.685033175714938e-02	-3.641357e+00	-2.294594e+00
9.704564425714939e-02	-3.641361e+00	-2.398816e+00
9.724095675714939e-02	-3.643203e+00	-2.466959e+00
9.743626925714939e-02	-3.648819e+00	-2.497996e+00
9.762630176344739e-02	-3.654455e+00	-2.492132e+00
9.782161426344739e-02	-3.656640e+00	-2.449130e+00
9.801692676344739e-02	-3.656823e+00	-2.369291e+00
9.821223926344740e-02	-3.656686e+00	-2.253815e+00
9.840755176344740e-02	-3.656534e+00	-2.104440e+00
9.860286426344740e-02	-3.656382e+00	-1.923412e+00
9.879817676344740e-02	-3.656230e+00	-1.713454e+00
9.899348926344741e-02	-3.656078e+00	-1.477725e+00
9.918880176344741e-02	-3.655926e+00	-1.219769e+00
9.938411426344741e-02	-3.655774e+00	-9.434661e-01
9.957942676344742e-02	-3.655622e+00	-6.529730e-01
9.977473926344742e-02	-3.655471e+00	-3.526585e-01
9.997005176344742e-02	-3.655319e+00	-4.703980e-02
1.001653642634474e-01	-3.655167e+00	2.592865e-01
1.003606767634474e-01	-3.655015e+00	5.617128e-01
1.005559892634474e-01	-3.654863e+00	8.556905e-01
1.007513017634474e-01	-3.654711e+00	1.136798e+00
1.009466142634474e-01	-3.654559e+00	1.400807e+00
1.011419267634474e-01	-3.654408e+00	1.643746e+00
1.013372392634474e-01	-3.654256e+00	1.861962e+00
