time	V(vds)	V(vgs)	V(vo)	Id(M1)
1.041556933668548e-03	1.154172e+01	1.284291e-03	-3.777704e-04	9.687442e-04
1.046439746168548e-03	1.154168e+01	1.431109e-03	-4.208561e-04	9.687605e-04
1.051322558668548e-03	1.154163e+01	1.576582e-03	-4.637223e-04	9.687768e-04
1.056205371168548e-03	1.154159e+01	1.720566e-03	-5.059724e-04	9.687929e-04
1.061088183668548e-03	1.154155e+01	1.862932e-03	-5.479227e-04	9.688088e-04
1.065970996168548e-03	1.154151e+01	2.003541e-03	-5.891779e-04	9.688245e-04
1.070853808668548e-03	1.154147e+01	2.142265e-03	-6.300549e-04	9.688401e-04
1.075736621168548e-03	1.154143e+01	2.278968e-03	-6.701594e-04	9.688553e-04
1.080619433668548e-03	1.154139e+01	2.413528e-03	-7.098094e-04	9.688704e-04
1.085502246168547e-03	1.154135e+01	2.545812e-03	-7.486121e-04	9.688851e-04
1.090385058668547e-03	1.154131e+01	2.675701e-03	-7.868864e-04	9.688997e-04
1.095267871168547e-03	1.154127e+01	2.803067e-03	-8.242407e-04	9.689139e-04
1.100150683668547e-03	1.154123e+01	2.927798e-03	-8.609956e-04	9.689279e-04
1.105033496168547e-03	1.154120e+01	3.049767e-03	-8.967607e-04	9.689415e-04
1.109916308668547e-03	1.154116e+01	3.168868e-03	-9.318581e-04	9.689548e-04
1.114799121168547e-03	1.154113e+01	3.284981e-03	-9.658991e-04	9.689677e-04
1.119681933668547e-03	1.154110e+01	3.398005e-03	-9.992073e-04	9.689804e-04
1.124564746168547e-03	1.154106e+01	3.507825e-03	-1.031396e-03	9.689927e-04
1.129447558668547e-03	1.154103e+01	3.614346e-03	-1.062789e-03	9.690046e-04
1.134330371168546e-03	1.154100e+01	3.717460e-03	-1.093004e-03	9.690161e-04
1.139213183668546e-03	1.154097e+01	3.817078e-03	-1.122366e-03	9.690272e-04
1.144095996168546e-03	1.154095e+01	3.913098e-03	-1.150492e-03	9.690379e-04
1.148978808668546e-03	1.154092e+01	4.005436e-03	-1.177711e-03	9.690483e-04
1.153861621168546e-03	1.154089e+01	4.094000e-03	-1.203643e-03	9.690581e-04
1.158744433668546e-03	1.154087e+01	4.178713e-03	-1.228618e-03	9.690676e-04
1.163627246168546e-03	1.154084e+01	4.259488e-03	-1.252258e-03	9.690766e-04
1.168510058668546e-03	1.154082e+01	4.336256e-03	-1.274895e-03	9.690853e-04
1.173392871168546e-03	1.154080e+01	4.408937e-03	-1.296153e-03	9.690933e-04
1.178275683668545e-03	1.154078e+01	4.477472e-03	-1.316367e-03	9.691010e-04
1.183158496168545e-03	1.154076e+01	4.541786e-03	-1.335163e-03	9.691081e-04
1.188041308668545e-03	1.154074e+01	4.601829e-03	-1.352879e-03	9.691149e-04
1.192924121168545e-03	1.154073e+01	4.657535e-03	-1.369142e-03	9.691211e-04
