time	V(vds)	V(vgs)	V(vo)	Id(M1)
7.241734375747916e-04	1.405490e+01	-4.911708e-03	5.053788e-04	1.117089e-03
7.290562500747916e-04	1.405490e+01	-4.934003e-03	5.076432e-04	1.117086e-03
7.339390625747916e-04	1.405490e+01	-4.951656e-03	5.094517e-04	1.117084e-03
7.388218750747916e-04	1.405490e+01	-4.964649e-03	5.107602e-04	1.117082e-03
7.437046875747916e-04	1.405491e+01	-4.972972e-03	5.116098e-04	1.117081e-03
7.485875000747916e-04	1.405491e+01	-4.976616e-03	5.119573e-04	1.117081e-03
7.534703125747916e-04	1.405491e+01	-4.975578e-03	5.118449e-04	1.117081e-03
7.583531250747916e-04	1.405491e+01	-4.969859e-03	5.112301e-04	1.117081e-03
7.632359375747916e-04	1.405490e+01	-4.959464e-03	5.101560e-04	1.117083e-03
7.681187500747916e-04	1.405490e+01	-4.944402e-03	5.085812e-04	1.117085e-03
7.730015625747916e-04	1.405490e+01	-4.924689e-03	5.065496e-04	1.117087e-03
7.778843750747916e-04	1.405490e+01	-4.900342e-03	5.040207e-04	1.117091e-03
7.827671875747916e-04	1.405490e+01	-4.871385e-03	5.010392e-04	1.117095e-03
7.876500000747916e-04	1.405489e+01	-4.837844e-03	4.975656e-04	1.117099e-03
7.925328125747916e-04	1.405489e+01	-4.799753e-03	4.936456e-04	1.117104e-03
7.974156250747916e-04	1.405488e+01	-4.757144e-03	4.892403e-04	1.117110e-03
8.022984375747916e-04	1.405488e+01	-4.710062e-03	4.843965e-04	1.117116e-03
8.071812500747916e-04	1.405487e+01	-4.658546e-03	4.790762e-04	1.117123e-03
8.120640625747916e-04	1.405487e+01	-4.602649e-03	4.733269e-04	1.117130e-03
8.169468750747916e-04	1.405486e+01	-4.542421e-03	4.671116e-04	1.117138e-03
8.218296875747916e-04	1.405486e+01	-4.477920e-03	4.604784e-04	1.117146e-03
8.267125000747916e-04	1.405485e+01	-4.409205e-03	4.533913e-04	1.117156e-03
8.315953125747916e-04	1.405484e+01	-4.336343e-03	4.458994e-04	1.117165e-03
8.364781250747917e-04	1.405483e+01	-4.259400e-03	4.379672e-04	1.117175e-03
8.413609375747917e-04	1.405482e+01	-4.178450e-03	4.296448e-04	1.117186e-03
8.462437500747917e-04	1.405482e+01	-4.093569e-03	4.208974e-04	1.117197e-03
8.511265625747917e-04	1.405481e+01	-4.004838e-03	4.117756e-04	1.117209e-03
8.560093750747917e-04	1.405480e+01	-3.912339e-03	4.022458e-04	1.117221e-03
8.608921875747917e-04	1.405479e+01	-3.816159e-03	3.923594e-04	1.117234e-03
8.657750000747917e-04	1.405478e+01	-3.716388e-03	3.820830e-04	1.117247e-03
8.706578125747917e-04	1.405477e+01	-3.613123e-03	3.714691e-04	1.117261e-03
