time	V(vo)	V(Vgs)	Ig
3.430768750149552e-03	-1.331273e-03	2.093353e-03	8.324760e-04
3.460065625149551e-03	-7.793983e-04	1.231989e-03	8.322167e-04
3.489362500149551e-03	-2.011004e-04	3.289412e-04	8.319450e-04
3.497733035863836e-03	-3.259391e-05	6.572558e-05	8.318658e-04
3.506103571578122e-03	1.348601e-04	-1.958809e-04	8.317871e-04
3.514474107292408e-03	3.012616e-04	-4.558782e-04	8.317089e-04
3.522844643006693e-03	4.666106e-04	-7.142665e-04	8.316312e-04
3.531215178720978e-03	6.309072e-04	-9.710455e-04	8.315540e-04
3.539585714435264e-03	7.941513e-04	-1.226216e-03	8.314773e-04
3.547956250149550e-03	9.563430e-04	-1.479776e-03	8.314010e-04
3.577253125149549e-03	1.496394e-03	-2.324331e-03	8.311472e-04
3.596784375149549e-03	1.829463e-03	-2.845430e-03	8.309907e-04
3.616315625149548e-03	2.135075e-03	-3.323755e-03	8.308470e-04
3.635846875149548e-03	2.408642e-03	-3.752114e-03	8.307184e-04
3.655378125149547e-03	2.646060e-03	-4.124062e-03	8.306068e-04
3.674909375149547e-03	2.843765e-03	-4.434005e-03	8.305138e-04
3.694440625149547e-03	2.998794e-03	-4.677282e-03	8.304410e-04
3.713971875149546e-03	3.108821e-03	-4.850233e-03	8.303892e-04
3.733503125149546e-03	3.172196e-03	-4.950257e-03	8.303593e-04
3.753034375149545e-03	3.187970e-03	-4.975850e-03	8.303518e-04
3.772565625149545e-03	3.155905e-03	-4.926627e-03	8.303669e-04
3.792096875149544e-03	3.076483e-03	-4.803327e-03	8.304041e-04
3.811628125149544e-03	2.950894e-03	-4.607806e-03	8.304631e-04
3.831159375149544e-03	2.781021e-03	-4.343004e-03	8.305428e-04
3.850690625149543e-03	2.569412e-03	-4.012904e-03	8.306422e-04
3.870221875149543e-03	2.319242e-03	-3.622471e-03	8.307598e-04
3.889753125149542e-03	2.034262e-03	-3.177578e-03	8.308936e-04
3.909284375149542e-03	1.718751e-03	-2.684917e-03	8.310418e-04
3.928815625149542e-03	1.377444e-03	-2.151896e-03	8.312022e-04
3.958112500149541e-03	8.284180e-04	-1.294367e-03	8.314602e-04
3.987409375149541e-03	2.514879e-04	-3.931590e-04	8.317313e-04
3.997175000149540e-03	5.450621e-05	-8.544227e-05	8.318239e-04
4.006940625149540e-03	-1.408516e-04	2.197462e-04	8.319156e-04
4.016706250149540e-03	-3.345855e-04	5.224066e-04	8.320067e-04
4.026471875149540e-03	-5.266956e-04	8.225387e-04	8.320970e-04
