time	V(n002)	V(n004)	Id(M1)
1.271048437574786e-03	-1.233489e-03	4.929787e-03	8.301084e-04
1.275931250074785e-03	-1.227722e-03	4.907289e-03	8.301057e-04
1.280814062574785e-03	-1.221003e-03	4.880175e-03	8.301027e-04
1.285696875074785e-03	-1.212929e-03	4.848463e-03	8.300990e-04
1.290579687574785e-03	-1.203917e-03	4.812189e-03	8.300949e-04
1.295462500074785e-03	-1.193565e-03	4.771381e-03	8.300901e-04
1.300345312574785e-03	-1.182294e-03	4.726085e-03	8.300850e-04
1.305228125074785e-03	-1.169704e-03	4.676335e-03	8.300793e-04
1.310110937574785e-03	-1.156217e-03	4.622187e-03	8.300731e-04
1.314993750074785e-03	-1.141435e-03	4.563682e-03	8.300663e-04
1.319876562574784e-03	-1.125782e-03	4.500885e-03	8.300592e-04
1.324759375074784e-03	-1.108863e-03	4.433846e-03	8.300515e-04
1.329642187574784e-03	-1.091105e-03	4.362637e-03	8.300433e-04
1.334525000074784e-03	-1.072113e-03	4.287316e-03	8.300347e-04
1.339407812574784e-03	-1.052317e-03	4.207963e-03	8.300256e-04
1.344290625074784e-03	-1.031322e-03	4.124643e-03	8.300160e-04
1.349173437574784e-03	-1.009562e-03	4.037444e-03	8.300061e-04
1.354056250074784e-03	-9.866443e-04	3.946439e-03	8.299956e-04
1.358939062574784e-03	-9.630024e-04	3.851723e-03	8.299848e-04
1.363821875074784e-03	-9.382472e-04	3.753376e-03	8.299735e-04
1.368704687574783e-03	-9.128132e-04	3.651499e-03	8.299618e-04
1.373587500074783e-03	-8.863133e-04	3.546180e-03	8.299497e-04
1.378470312574783e-03	-8.591833e-04	3.437525e-03	8.299373e-04
1.383353125074783e-03	-8.310377e-04	3.325630e-03	8.299245e-04
1.388235937574783e-03	-8.023143e-04	3.210607e-03	8.299114e-04
1.393118750074783e-03	-7.726289e-04	3.092556e-03	8.298978e-04
1.398001562574783e-03	-7.424204e-04	2.971598e-03	8.298840e-04
1.402884375074783e-03	-7.113063e-04	2.847838e-03	8.298698e-04
1.407767187574783e-03	-6.797271e-04	2.721399e-03	8.298553e-04
1.412650000074783e-03	-6.473011e-04	2.592394e-03	8.298405e-04
1.417532812574782e-03	-6.144701e-04	2.460951e-03	8.298255e-04
1.422415625074782e-03	-5.808541e-04	2.327186e-03	8.298102e-04
1.427298437574782e-03	-5.468954e-04	2.191234e-03	8.297946e-04
1.432181250074782e-03	-5.122150e-04	2.053214e-03	8.297788e-04
1.437064062574782e-03	-4.772569e-04	1.913263e-03	8.297628e-04
1.441946875074782e-03	-4.416426e-04	1.771507e-03	8.297465e-04
1.446829687574782e-03	-4.058168e-04	1.628085e-03	8.297301e-04
1.451712500074782e-03	-3.694024e-04	1.483126e-03	8.297135e-04
1.456595312574782e-03	-3.328444e-04	1.336773e-03	8.296968e-04
1.461478125074781e-03	-2.957661e-04	1.189157e-03	8.296798e-04
1.466360937574781e-03	-2.586137e-04	1.040424e-03	8.296628e-04
1.471243750074781e-03	-2.210110e-04	8.907057e-04	8.296457e-04
1.476126562574781e-03	-1.834045e-04	7.401520e-04	8.296285e-04
1.481009375074781e-03	-1.454186e-04	5.888958e-04	8.296111e-04
1.485892187574781e-03	-1.074998e-04	4.370882e-04	8.295938e-04
